*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 06, 2014; 23:59:41
                                                                                
*RUN   1        : 97 DATE1 CHINESE          CRGRO045 GHNY9701    1              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  1   : 97 DATE1 CHINESE          CRGRO045                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1997 236    88    0.0   12.2   13.1   15.9   31.8   0.46   31.5   22.0   26.6   28.2   22.0   26.6   28.2   86.4  364.0
 1997 237    89   13.1   12.2   13.1   21.8   43.6   0.26   32.4   23.0   27.5   29.1   23.0   27.5   29.1   86.4  364.0
 1997 238    90    0.0   12.2   13.1   15.7   31.4   0.47   31.5   22.2   26.7   28.2   22.2   26.7   28.2   86.4  364.0
 1997 239    91    7.8   12.2   13.1   17.6   35.2   0.40   32.5   23.0   27.6   29.1   23.0   27.6   29.1   86.4  364.0
 1997 240    92    0.0   12.2   13.0    9.8   19.6   0.67   32.5   20.5   26.3   28.3   20.5   26.3   28.3   86.4  364.0
 1997 241    93   12.5   12.2   13.0   22.9   45.8   0.22   31.2   22.5   26.7   28.1   22.5   26.7   28.1   86.4  364.0
 1997 242    94    0.0   12.2   13.0   21.0   42.0   0.29   30.0   23.4   26.6   27.7   23.4   26.6   27.7   86.4  364.0
 1997 243    95    0.0   12.2   13.0   22.0   44.0   0.25   31.0   22.7   26.7   28.1   22.7   26.7   28.1   86.4  364.0
 1997 244    96    0.0   12.2   13.0   18.5   37.0   0.37   33.0   23.0   27.8   29.5   23.0   27.8   29.5   86.4  364.0
 1997 245    97    0.0   12.2   13.0   18.0   36.0   0.39   30.5   23.5   26.9   28.0   23.5   26.9   28.0   86.4  364.0
 1997 246    98    0.7   12.2   13.0   11.2   22.4   0.62   28.6   23.0   25.7   26.6   23.0   25.7   26.6   86.4  364.0
 1997 247    99    5.6   12.1   13.0   11.6   23.2   0.60   30.0   23.5   26.6   27.7   23.5   26.6   27.7   86.4  364.0
 1997 248   100   20.5   12.1   13.0   18.8   37.6   0.36   32.5   22.5   27.3   29.0   22.5   27.3   29.0   86.4  364.0

*DSSAT Cropping System Model Ver. 4.5.1.023 -Stub         NOV 06, 2014; 23:59:41
                                                                                
*RUN   2        : 97 DATE1 F-MIX            CRGRO045 GHNY9701    2              
 MODEL          : CRGRO045 - Peanut                                             
 EXPERIMENT     : GHNY9701 PN 1997 VARIETY X PLANTING DATE EXPERIMENT           
 DATA PATH      :                                                               
 TREATMENT  2   : 97 DATE1 F-MIX            CRGRO045                            
  
@YEAR DOY   DAS   PRED  DAYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1997 149     1    0.0   12.5   13.4   23.5   47.0   0.20   32.5   23.0   27.6   29.2   23.0   27.6   29.2   86.4  363.5
 1997 150     2    0.0   12.5   13.4   24.1   48.2   0.18   34.0   24.2   29.0   30.6   24.2   29.0   30.6   86.4  363.5
 1997 151     3    0.0   12.5   13.4   22.5   45.0   0.23   33.0   24.5   28.6   30.1   24.5   28.6   30.1   86.4  363.5
 1997 152     4    0.0   12.5   13.4   22.8   45.6   0.22   33.0   23.0   27.9   29.6   23.0   27.9   29.6   86.4  363.5
 1997 153     5    0.0   12.5   13.4   19.0   38.0   0.35   33.6   23.4   28.4   30.1   23.4   28.4   30.1   86.4  363.5
 1997 154     6    0.0   12.5   13.4   22.9   45.8   0.22   33.5   22.3   27.7   29.6   22.3   27.7   29.6   86.4  363.5
 1997 155     7    7.0   12.5   13.4   13.2   26.4   0.55   31.5   23.0   27.1   28.6   23.0   27.1   28.6   86.4  363.5
 1997 156     8    0.0   12.5   13.4   13.1   26.2   0.55   27.0   21.5   24.2   25.1   21.5   24.2   25.1   86.4  363.5
 1997 157     9    1.5   12.5   13.4   20.8   41.6   0.29   32.0   21.3   26.5   28.3   21.3   26.5   28.3   86.4  363.5
 1997 158    10    0.0   12.5   13.4   15.1   30.2   0.48   31.0   22.8   26.8   28.2   22.8   26.8   28.2   86.4  363.5
 1997 159    11    0.0   12.5   13.4   16.2   32.4   0.45   33.6   23.9   28.6   30.3   23.9   28.6   30.3   86.4  363.5
 1997 160    12    0.0   12.5   13.4   23.0   46.0   0.21   34.0   23.0   28.4   30.2   23.0   28.4   30.2   86.4  363.5
 1997 161    13    0.0   12.5   13.4   16.6   33.2   0.43   32.4   23.5   27.8   29.3   23.5   27.8   29.3   86.4  363.5
 1997 162    14    6.5   12.5   13.4    8.5   17.0   0.71   27.2   24.8   26.0   26.4   24.8   26.0   26.4   86.4  363.5
 1997 163    15    0.0   12.5   13.4   20.8   41.6   0.29   30.5   21.0   25.6   27.2   21.0   25.6   27.2   86.4  363.5
 1997 164    16   43.7   12.5   13.4   10.7   21.4   0.63   31.0   23.5   27.1   28.4   23.5   27.1   28.4   86.4  363.5
 1997 165    17    0.5   12.5   13.4   15.8   31.6   0.46   31.0   21.6   26.2   27.8   21.6   26.2   27.8   86.4  363.5
 1997 166    18    0.0   12.5   13.4   14.4   28.8   0.51   30.0   22.5   26.1   27.4   22.5   26.1   27.4   86.4  363.6
 1997 167    19   16.4   12.5   13.4   16.9   33.8   0.42   30.6   22.9   26.6   28.0   22.9   26.6   28.0   86.4  363.6
 1997 168    20    0.0   12.5   13.4   21.0   42.0   0.28   30.2   20.6   25.3   26.9   20.6   25.3   26.9   86.4  363.6
 1997 169    21    0.0   12.5   13.4   22.7   45.4   0.22   32.4   21.5   26.8   28.7   21.5   26.8   28.7   86.4  363.6
 1997 170    22   21.0   12.5   13.4   16.9   33.8   0.42   32.5   20.6   26.4   28.4   20.6   26.4   28.4   86.4  363.6
 1997 171    23    0.0   12.6   13.4   23.0   46.0   0.21   30.5   21.0   25.6   27.2   21.0   25.6   27.2   86.4  363.6
 1997 172    24    0.0   12.6   13.4   22.7   45.4   0.22   32.5   23.5   27.9   29.4   23.5   27.9   29.4   86.4  363.6
 1997 173    25    9.4   12.6   13.4    8.5   17.0   0.71   32.0   24.5   28.1   29.4   24.5   28.1   29.4   86.4  363.6
 1997 174    26    4.0   12.6   13.4   10.4   20.8   0.64   25.5   20.3   22.8   23.7   20.3   22.8   23.7   86.4  363.6
 1997 175    27    0.0   12.5   13.4   13.0   26.0   0.56   29.0   21.0   24.9   26.3   21.0   24.9   26.3   86.4  363.6
 1997 176    28    0.0   12.5   13.4   16.5   33.0   0.44   31.0   23.5   27.1   28.4   23.5   27.1   28.4   86.4  363.6
 1997 177    29    0.0   12.5   13.4   24.1   48.2   0.18   31.5   23.0   27.1   28.6   23.0   27.1   28.6   86.4  363.6
 1997 178    30    0.0   12.5   13.4   21.8   43.6   0.25   32.0   23.0   27.4   28.9   23.0   27.4   28.9   86.4  363.6
 1997 179    31   37.0   12.5   13.4   13.1   26.2   0.55   32.0   21.2   26.5   28.3   21.2   26.5   28.3   86.4  363.6
 1997 180    32    0.0   12.5   13.4   23.0   46.0   0.21   30.7   23.0   26.7   28.1   23.0   26.7   28.1   86.4  363.6
 1997 181    33    8.8   12.5   13.4   16.4   32.8   0.44   29.5   23.4   26.4   27.4   23.4   26.4   27.4   86.4  363.6
 1997 182    34    0.0   12.5   13.4   19.3   38.6   0.34   29.5   25.0   27.2   28.0   25.0   27.2   28.0   86.4  363.6
 1997 183    35    0.0   12.5   13.4    8.8   17.6   0.70   29.5   23.5   26.4   27.4   23.5   26.4   27.4   86.4  363.6
 1997 184    36    0.0   12.5   13.4    9.5   19.0   0.68   27.5   20.5   23.9   25.1   20.5   23.9   25.1   86.4  363.6
 1997 185    37    0.0   12.5   13.4    9.7   19.4   0.67   29.0   21.5   25.1   26.4   21.5   25.1   26.4   86.4  363.6
 1997 186    38    1.6   12.5   13.4   16.6   33.2   0.43   29.7   23.5   26.5   27.6   23.5   26.5   27.6   86.4  363.6
 1997 187    39    0.0   12.5   13.4   15.7   31.4   0.46   29.8   22.7   26.2   27.4   22.7   26.2   27.4   86.4  363.6
 1997 188    40    0.0   12.5   13.4   16.4   32.8   0.44   29.0   22.5   25.7   26.8   22.5   25.7   26.8   86.4  363.6
 1997 189    41    0.0   12.5   13.4   21.5   43.0   0.27   30.5   22.5   26.4   27.7   22.5   26.4   27.7   86.4  363.6
 1997 190    42    0.0   12.5   13.4   18.9   37.8   0.36   31.5   22.5   26.9   28.4   22.5   26.9   28.4   86.4  363.6
 1997 191    43   21.8   12.5   13.4   11.4   22.8   0.61   27.5   23.3   25.3   26.1   23.3   25.3   26.1   86.4  363.6
 1997 192    44    0.0   12.5   13.4   11.6   23.2   0.60   31.0   22.0   26.4   27.9   22.0   26.4   27.9   86.4  363.6
 1997 193    45    1.8   12.5   13.4   19.8   39.6   0.33   27.5   23.0   25.2   26.0   23.0   25.2   26.0   86.4  363.6
 1997 194    46    0.0   12.5   13.4   21.5   43.0   0.27   31.0   23.5   27.1   28.4   23.5   27.1   28.4   86.4  363.6
 1997 195    47   26.5   12.5   13.4   18.1   36.2   0.38   32.0   24.5   28.1   29.4   24.5   28.1   29.4   86.4  363.6
 1997 196    48   54.4   12.5   13.4   10.2   20.4   0.65   29.5   22.0   25.6   26.9   22.0   25.6   26.9   86.4  363.8
 1997 197    49    0.8   12.5   13.4    7.1   14.2   0.76   25.5   21.0   23.2   23.9   21.0   23.2   23.9   86.4  363.8
 1997 198    50    0.0   12.5   13.4   15.5   31.0   0.47   29.5   22.5   25.9   27.1   22.5   25.9   27.1   86.4  363.8
 1997 199    51    0.0   12.5   13.4   16.2   32.4   0.45   28.5   22.0   25.2   26.3   22.0   25.2   26.3   86.4  363.8
 1997 200    52    0.0   12.5   13.4   17.4   34.8   0.41   30.3   22.2   26.1   27.5   22.2   26.1   27.5   86.4  363.8
 1997 201    53    0.5   12.5   13.4   12.0   24.0   0.59   28.5   20.6   24.4   25.8   20.6   24.4   25.8   86.4  363.8
 1997 202    54    0.7   12.5   13.4    7.1   14.2   0.76   29.5   20.6   24.9   26.4   20.6   24.9   26.4   86.4  363.8
 1997 203    55    0.0   12.5   13.3   23.1   46.2   0.22   30.5   22.0   26.1   27.6   22.0   26.1   27.6   86.4  363.8
 1997 204    56    5.1   12.5   13.3   16.8   33.6   0.43   32.0   22.5   27.1   28.7   22.5   27.1   28.7   86.4  363.8
 1997 205    57    1.4   12.5   13.3   15.9   31.8   0.46   31.7   22.3   26.9   28.4   22.3   26.9   28.4   86.4  363.8
 1997 206    58    0.0   12.5   13.3   20.8   41.6   0.29   30.0   21.5   25.6   27.1   21.5   25.6   27.1   86.4  363.8
 1997 207    59    0.0   12.4   13.3   20.7   41.4   0.30   32.0   23.0   27.4   28.9   23.0   27.4   28.9   86.4  363.8
 1997 208    60    0.0   12.4   13.3   18.6   37.2   0.37   32.5   23.5   27.9   29.4   23.5   27.9   29.4   86.4  363.8
 1997 209    61    0.0   12.4   13.3   21.2   42.4   0.28   32.0   23.0   27.4   28.9   23.0   27.4   28.9   86.4  363.8
 1997 210    62    6.5   12.4   13.3   12.6   25.2   0.57   31.0   23.5   27.1   28.4   23.5   27.1   28.4   86.4  363.8
 1997 211    63   15.5   12.4   13.3    9.8   19.6   0.67   29.5   22.0   25.6   26.9   22.0   25.6   26.9   86.4  363.8
 1997 212    64    0.0   12.4   13.3    7.8   15.6   0.74   27.0   21.5   24.2   25.1   21.5   24.2   25.1   86.4  363.8
 1997 213    65    1.2   12.4   13.3   10.8   21.6   0.63   27.6   22.6   25.0   25.9   22.6   25.0   25.9   86.4  363.8
 1997 214    66    0.0   12.4   13.3   21.2   42.4   0.28   31.0   22.6   26.7   28.1   22.6   26.7   28.1   86.4  363.8
 1997 215    67    0.0   12.4   13.3   18.6   37.2   0.37   33.4   22.3   27.7   29.5   22.3   27.7   29.5   86.4  363.8
 1997 216    68    0.0   12.4   13.3   11.8   23.6   0.60   29.5   24.2   26.8   27.7   24.2   26.8   27.7   86.4  363.8
 1997 217    69   54.0   12.4   13.2   13.5   27.0   0.54   30.0   22.5   26.1   27.4   22.5   26.1   27.4   86.4  363.8
 1997 218    70    0.0   12.4   13.2    7.5   15.0   0.75   28.0   21.0   24.4   25.6   21.0   24.4   25.6   86.4  363.8
 1997 219    71    0.0   12.4   13.2   12.6   25.2   0.57   30.0   22.5   26.1   27.4   22.5   26.1   27.4   86.4  363.8
 1997 220    72    0.0   12.4   13.2   21.9   43.8   0.26   30.4   21.1   25.6   27.2   21.1   25.6   27.2   86.4  363.8
 1997 221    73    0.0   12.4   13.2   14.1   28.2   0.52   31.4   23.0   27.1   28.5   23.0   27.1   28.5   86.4  363.8
 1997 222    74    0.0   12.4   13.2   21.0   42.0   0.29   30.0   23.0   26.4   27.6   23.0   26.4   27.6   86.4  363.8
 1997 223    75    0.0   12.3   13.2   21.4   42.8   0.28   30.8   22.5   26.5   27.9   22.5   26.5   27.9   86.4  363.8
 1997 224    76    0.0   12.3   13.2   16.7   33.4   0.44   30.0   22.4   26.1   27.3   22.4   26.1   27.3   86.4  363.8
 1997 225    77    0.0   12.3   13.2   17.5   35.0   0.41   30.5   23.6   26.9   28.1   23.6   26.9   28.1   86.4  363.8
 1997 226    78    0.0   12.3   13.2   16.9   33.8   0.43   31.5   23.5   27.4   28.7   23.5   27.4   28.7   86.4  363.8
 1997 227    79    4.8   12.3   13.2    8.7   17.4   0.71   27.4   23.4   25.3   26.0   23.4   25.3   26.0   86.4  364.0
 1997 228    80    0.0   12.3   13.2   18.3   36.6   0.38   34.0   21.2   27.4   29.5   21.2   27.4   29.5   86.4  364.0
 1997 229    81    0.0   12.3   13.1   13.2   26.4   0.55   30.5   23.5   26.9   28.0   23.5   26.9   28.0   86.4  364.0
 1997 230    82   60.0   12.3   13.1   17.5   35.0   0.41   34.0   22.5   28.1   30.0   22.5   28.1   30.0   86.4  364.0
 1997 231    83    0.0   12.3   13.1   20.4   40.8   0.31   30.5   21.5   25.8   27.3   21.5   25.8   27.3   86.4  364.0
 1997 232    84    0.0   12.3   13.1   19.4   38.8   0.34   29.5   22.5   25.9   27.0   22.5   25.9   27.0   86.4  364.0
 1997 233    85   19.4   12.3   13.1   26.2   52.4   0.11   33.5   23.8   28.5   30.1   23.8   28.5   30.1   86.4  364.0
 1997 234    86    0.0   12.3   13.1   15.5   31.0   0.47   33.5   23.5   28.3   30.0   23.5   28.3   30.0   86.4  364.0
 1997 235    87    0.0   12.2   13.1    6.8   13.6   0.77   32.5   22.5   27.3   29.0   22.5   27.3   29.0   86.4  364.0
 1997 236    88    0.0   12.2   13.1   15.9   31.8   0.46   31.5   22.0   26.6   28.2   22.0   26.6   28.2   86.4  364.0
 1997 237    89   13.1   12.2   13.1   21.8   43.6   0.26   32.4   23.0   27.5   29.1   23.0   27.5   29.1   86.4  364.0
 1997 238    90    0.0   12.2   13.1   15.7   31.4   0.47   31.5   22.2   26.7   28.2   22.2   26.7   28.2   86.4  364.0
 1997 239    91    7.8   12.2   13.1   17.6   35.2   0.40   32.5   23.0   27.6   29.1   23.0   27.6   29.1   86.4  364.0
 1997 240    92    0.0   12.2   13.0    9.8   19.6   0.67   32.5   20.5   26.3   28.3   20.5   26.3   28.3   86.4  364.0
